Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,173.2100067138672,176.83999633789062,172.6300048828125,176.66000366210938,167.52490234375,1352900
2019-01-28,171.74000549316406,178.6300048828125,171.24000549316406,178.41000366210938,169.18443298339844,5272600
2019-02-04,178.42999267578125,187.0500030517578,177.83999633789062,181.07000732421875,171.7069091796875,4856300
2019-02-11,179.4199981689453,185.10000610351562,178.07000732421875,184.3699951171875,174.83624267578125,4093200
2019-02-18,180.94000244140625,185.1300048828125,180.92999267578125,184.88999938964844,175.329345703125,2709200
2019-02-25,187.8000030517578,188.27000427246094,182.27000427246094,185.11000061035156,175.5379638671875,2494000
2019-03-04,185.36000061035156,186.72999572753906,175.57000732421875,178.83999633789062,169.5922088623047,2380300
2019-03-11,178.33999633789062,192.9600067138672,178.30999755859375,192.80999755859375,182.83981323242188,3506600
2019-03-18,190.52999877929688,195.4600067138672,187.4499969482422,187.75,178.04144287109375,3564100
2019-03-25,186.3300018310547,188.4199981689453,182.77000427246094,188.0500030517578,178.325927734375,3229700
2019-04-01,191.24000549316406,201.72000122070312,190.75999450683594,201.38999938964844,190.9761199951172,2778300
2019-04-08,202.0,203.67999267578125,197.2899932861328,202.82000732421875,192.33218383789062,2707700
2019-04-15,201.27999877929688,208.89999389648438,199.00999450683594,205.91000366210938,195.26239013671875,3433000
2019-04-22,204.6199951171875,207.80999755859375,203.17999267578125,207.1999969482422,196.48570251464844,2676000
2019-04-29,205.91000366210938,210.8699951171875,204.08999633789062,208.67999267578125,200.20565795898438,1845200
2019-05-06,202.24000549316406,205.5399932861328,194.74000549316406,198.74000549316406,190.66934204101562,3077900
2019-05-13,193.39999389648438,204.4600067138672,189.9199981689453,201.1999969482422,193.02944946289062,4150900
2019-05-20,193.8699951171875,195.27000427246094,188.8000030517578,189.8000030517578,182.09237670898438,3796900
2019-05-27,192.6199951171875,193.3800048828125,186.89999389648438,188.0500030517578,180.4134521484375,3062400
2019-06-03,188.5800018310547,198.4600067138672,186.30999755859375,196.6199951171875,188.6354217529297,2687900
2019-06-10,196.27000427246094,202.66000366210938,190.5,192.02000427246094,184.2222442626953,2491400
2019-06-17,192.0,203.61000061035156,189.49000549316406,202.27000427246094,194.05601501464844,3187500
2019-06-24,203.38999938964844,209.77000427246094,198.1199951171875,207.92999267578125,199.48617553710938,2546800
2019-07-01,215.97000122070312,216.58999633789062,207.19000244140625,209.75,201.23223876953125,1932300
2019-07-08,208.57000732421875,209.75,205.3000030517578,208.17999267578125,199.72601318359375,2638800
2019-07-15,208.32000732421875,226.99000549316406,204.36000061035156,223.6199951171875,214.5389862060547,5911900
2019-07-22,225.2899932861328,234.5,225.2899932861328,230.85000610351562,221.4753875732422,3326500
2019-07-29,230.61000061035156,231.25999450683594,218.19000244140625,219.91000366210938,210.97964477539062,2697300
2019-08-05,216.3800048828125,220.5500030517578,210.3000030517578,215.99000549316406,207.21884155273438,2646700
2019-08-12,216.0500030517578,220.8000030517578,207.07000732421875,212.85000610351562,204.20635986328125,3039700
2019-08-19,216.82000732421875,218.61000061035156,209.60000610351562,210.5,201.95176696777344,1870100
2019-08-26,213.86000061035156,224.00999450683594,212.30999755859375,222.61000061035156,213.5700225830078,1701900
2019-09-02,220.64999389648438,240.11000061035156,218.89999389648438,238.55999755859375,228.87228393554688,2885800
2019-09-09,239.0800018310547,251.22999572753906,238.11000061035156,248.99000549316406,238.87875366210938,3816700
2019-09-16,246.0800018310547,252.11000061035156,244.6699981689453,245.7899932861328,235.80868530273438,2862500
2019-09-23,246.19000244140625,249.94000244140625,241.1699981689453,243.7100067138672,233.8131561279297,2599600
2019-09-30,244.97999572753906,250.1699981689453,238.2899932861328,246.0399932861328,236.0485382080078,2909400
